	match_url	date	score	home	guests	winner	home_goals	guests_goals
601	https://ru.corner-stats.com/zenit-st-petersburg-spartak-nalchik-31-07-2011/premier-league-russia/match/17432	31/07/11	1 : 0	 зенит 	спартак-нальчик	home	1	0
602	https://ru.corner-stats.com/spartak-m-kuban-krasnodar-30-07-2011/premier-league-russia/match/17314	30/07/11	1 : 1	 спартак 	 кубань 	nobody	1	1
603	https://ru.corner-stats.com/rubin-kazan-anzhi-makhachkala-30-07-2011/premier-league-russia/match/16986	30/07/11	0 : 3	 рубин 	 анжи 	guests	0	3
604	https://ru.corner-stats.com/tomsk-terek-grozny-30-07-2011/premier-league-russia/match/17243	30/07/11	0 : 1	 томь 	 ахмат 	guests	0	1
605	https://ru.corner-stats.com/cska-moscow-krylya-samara-25-07-2011/premier-league-russia/match/17071	25/07/11	2 : 1	 цска 	 крылья советов 	home	2	1
606	https://ru.corner-stats.com/anzhi-makhachkala-zenit-st-petersburg-24-07-2011/premier-league-russia/match/16985	24/07/11	0 : 1	 анжи 	 зенит 	guests	0	1
607	https://ru.corner-stats.com/rostov-dinamo-moscow-24-07-2011/premier-league-russia/match/17761	24/07/11	0 : 2	 ростов 	 динамо москва 	guests	0	2
608	https://ru.corner-stats.com/spartak-nalchik-krasnodar-24-07-2011/premier-league-russia/match/17640	24/07/11	2 : 2	спартак-нальчик	 краснодар 	nobody	2	2
609	https://ru.corner-stats.com/lokomotiv-m-amkar-perm-24-07-2011/premier-league-russia/match/17150	24/07/11	4 : 0	 локомотив 	 амкар 	home	4	0
610	https://ru.corner-stats.com/volga-nizhny-novgorod-spartak-m-24-07-2011/premier-league-russia/match/17313	24/07/11	0 : 2	волга	 спартак 	guests	0	2
611	https://ru.corner-stats.com/kuban-krasnodar-tomsk-23-07-2011/premier-league-russia/match/17501	23/07/11	1 : 3	 кубань 	 томь 	guests	1	3
612	https://ru.corner-stats.com/terek-grozny-rubin-kazan-22-07-2011/premier-league-russia/match/17242	22/07/11	0 : 1	 ахмат 	 рубин 	guests	0	1
613	https://ru.corner-stats.com/volga-nizhny-novgorod-cska-moscow-21-07-2011/premier-league-russia/match/17070	21/07/11	0 : 2	волга	 цска 	guests	0	2
614	https://ru.corner-stats.com/krasnodar-anzhi-makhachkala-26-06-2011/premier-league-russia/match/16983	26/06/11	2 : 2	 краснодар 	 анжи 	nobody	2	2
615	https://ru.corner-stats.com/dinamo-moscow-lokomotiv-m-26-06-2011/premier-league-russia/match/17148	26/06/11	4 : 1	 динамо москва 	 локомотив 	home	4	1
616	https://ru.corner-stats.com/spartak-m-rostov-26-06-2011/premier-league-russia/match/17311	26/06/11	3 : 2	 спартак 	 ростов 	home	3	2
